Exportar a archivo plano.
Año: 2000
Hora	Eventos	Porcentaje
0	14	2.79%
1	22	7.17%
2	18	10.76%
3	22	15.14%
4	24	19.92%
5	40	27.89%
6	18	31.47%
7	36	38.65%
8	32	45.02%
9	18	48.61%
10	13	51.20%
11	23	55.78%
12	22	60.16%
13	16	63.35%
14	11	65.54%
15	21	69.72%
16	13	72.31%
17	33	78.88%
18	18	82.47%
19	24	87.25%
20	13	89.84%
21	20	93.82%
22	16	97.01%
23	15	100.00%
TOTAL		502	100.00%
