Exportar a archivo plano.
Año: 2019
Nº	Mes	Eventos	Porcentaje
1	ENERO	50	8.85%
2	FEBRERO	45	7.96%
3	MARZO	42	7.43%
4	ABRIL	46	8.14%
5	MAYO	77	13.63%
6	JUNIO	49	8.67%
7	JULIO	50	8.85%
8	AGOSTO	41	7.26%
9	SETIEMBRE	36	6.37%
10	OCTUBRE	52	9.20%
11	NOVIEMBRE	36	6.37%
12	DICIEMBRE	41	7.26%
TOTAL		565	100.00%
