Exportar a archivo plano.
Año: 2019
Hora	Eventos	Porcentaje
0	22	3.89%
1	26	8.50%
2	23	12.57%
3	24	16.81%
4	26	21.42%
5	28	26.37%
6	37	32.92%
7	38	39.65%
8	43	47.26%
9	27	52.04%
10	22	55.93%
11	21	59.65%
12	25	64.07%
13	25	68.50%
14	27	73.27%
15	13	75.58%
16	14	78.05%
17	18	81.24%
18	17	84.25%
19	13	86.55%
20	20	90.09%
21	20	93.63%
22	14	96.11%
23	22	100.00%
TOTAL		565	100.00%
